paid_at,customer_no,pay_method,status,product,auto_renew,amount,email
2026-07-01T16:01:00,CU-1010,mobile,F,iptv,false,22000,user1010@example.com
2026-07-01T16:15:00,CU-1020,bank,S,mobile_plan,true,45000,user1020@example.com
2026-07-01T16:53:00,CU-1052,card,S,mobile_plan,false,45000,user1052@example.com
2026-07-01T17:22:00,CU-1046,card,S,internet,false,38000,user1046@example.com
2026-07-01T18:31:00,CU-1011,card,F,iptv,true,22000,user1011@example.com
2026-07-01T20:33:00,CU-1051,bank,S,internet,true,38000,user1051@example.com
2026-07-02T08:01:00,CU-1010,bank,S,iptv,false,22000,user1010@example.com
2026-07-02T09:31:00,CU-1011,bank,S,iptv,false,22000,user1011@example.com
2026-07-02T09:43:00,CU-1022,card,S,mobile_plan,false,45000,user1022@example.com
2026-07-02T09:52:00,CU-1052,bank,S,internet,true,38000,user1052@example.com
2026-07-02T10:50:00,CU-1038,bank,S,iptv,true,22000,user1038@example.com
2026-07-02T11:40:00,CU-1014,bank,F,iptv,false,22000,user1014@example.com
2026-07-02T15:23:00,CU-1033,bank,S,internet,false,38000,user1033@example.com
2026-07-02T18:40:00,CU-1003,card,F,iptv,true,22000,user1003@example.com
2026-07-02T18:55:00,CU-1058,mobile,S,iptv,true,22000,user1058@example.com
2026-07-02T18:58:00,CU-1038,bank,S,mobile_plan,true,45000,user1038@example.com
2026-07-03T02:40:00,CU-1003,card,S,iptv,false,22000,user1003@example.com
2026-07-03T11:08:00,CU-1009,mobile,F,internet,true,38000,user1009@example.com
2026-07-03T12:03:00,CU-1059,card,S,mobile_plan,true,45000,user1059@example.com
2026-07-03T12:53:00,CU-1025,mobile,S,internet,true,38000,user1025@example.com
2026-07-04T01:08:00,CU-1009,card,S,internet,false,38000,user1009@example.com
2026-07-04T15:23:00,CU-1024,mobile,S,mobile_plan,true,45000,user1024@example.com
2026-07-04T16:18:00,CU-1029,card,S,mobile_plan,false,45000,user1029@example.com
2026-07-04T18:39:00,CU-1057,mobile,F,iptv,false,22000,user1057@example.com
2026-07-05T11:40:00,CU-1014,card,F,iptv,false,22000,user1014@example.com
2026-07-05T20:41:00,CU-1053,card,F,mobile_plan,false,45000,user1053@example.com
2026-07-06T11:07:00,CU-1033,mobile,S,iptv,true,22000,user1033@example.com
2026-07-06T16:15:00,CU-1040,card,S,iptv,false,22000,user1040@example.com
2026-07-06T17:49:00,CU-1055,card,F,internet,false,38000,user1055@example.com
2026-07-06T20:41:00,CU-1050,card,S,mobile_plan,true,45000,user1050@example.com
2026-07-07T09:43:00,CU-1042,bank,S,mobile_plan,true,45000,user1042@example.com
2026-07-07T10:41:00,CU-1027,mobile,S,mobile_plan,true,45000,user1027@example.com
2026-07-07T10:55:00,CU-1059,bank,S,mobile_plan,true,45000,user1059@example.com
2026-07-07T20:54:00,CU-1026,card,S,mobile_plan,false,45000,user1026@example.com
2026-07-08T16:41:00,CU-1015,mobile,F,internet,false,38000,user1015@example.com
2026-07-09T12:19:00,CU-1019,bank,S,iptv,true,22000,user1019@example.com
2026-07-09T15:47:00,CU-1042,mobile,S,iptv,true,22000,user1042@example.com
2026-07-09T18:14:00,CU-1054,card,S,internet,true,38000,user1054@example.com
2026-07-10T09:23:00,CU-1012,mobile,F,internet,false,38000,user1012@example.com
2026-07-10T10:57:00,CU-1006,mobile,F,iptv,false,22000,user1006@example.com
2026-07-10T13:09:00,CU-1023,card,S,internet,false,38000,user1023@example.com
2026-07-10T15:17:00,CU-1045,card,S,mobile_plan,false,45000,user1045@example.com
2026-07-10T15:57:00,CU-1006,bank,S,iptv,false,22000,user1006@example.com
2026-07-10T23:23:00,CU-1012,mobile,S,internet,false,38000,user1012@example.com
2026-07-11T09:56:00,CU-1055,card,S,mobile_plan,true,45000,user1055@example.com
2026-07-11T12:28:00,CU-1044,card,S,internet,false,38000,user1044@example.com
2026-07-11T12:57:00,CU-1049,card,S,mobile_plan,true,45000,user1049@example.com
2026-07-11T16:41:00,CU-1015,bank,F,internet,false,38000,user1015@example.com
2026-07-11T16:57:00,CU-1030,mobile,S,iptv,true,22000,user1030@example.com
2026-07-11T20:34:00,CU-1022,mobile,S,iptv,true,22000,user1022@example.com
2026-07-12T11:03:00,CU-1017,mobile,F,iptv,false,22000,user1017@example.com
2026-07-13T10:12:00,CU-1002,card,F,iptv,true,22000,user1002@example.com
2026-07-13T11:50:00,CU-1027,card,S,mobile_plan,false,45000,user1027@example.com
2026-07-14T06:12:00,CU-1002,card,S,iptv,true,22000,user1002@example.com
2026-07-14T09:25:00,CU-1036,bank,S,mobile_plan,false,45000,user1036@example.com
2026-07-14T09:34:00,CU-1057,bank,S,mobile_plan,true,45000,user1057@example.com
2026-07-14T11:22:00,CU-1020,mobile,F,internet,true,38000,user1020@example.com
2026-07-14T16:08:00,CU-1037,mobile,S,internet,false,38000,user1037@example.com
2026-07-14T18:43:00,CU-1053,card,F,iptv,false,22000,user1053@example.com
2026-07-15T11:03:00,CU-1017,bank,F,iptv,false,22000,user1017@example.com
2026-07-15T15:21:00,CU-1007,bank,F,internet,false,38000,user1007@example.com
2026-07-15T16:01:00,CU-1008,card,F,internet,true,38000,user1008@example.com
2026-07-16T00:21:00,CU-1007,card,S,internet,true,38000,user1007@example.com
2026-07-16T07:01:00,CU-1008,card,S,internet,false,38000,user1008@example.com
2026-07-16T14:27:00,CU-1034,card,S,internet,false,38000,user1034@example.com
2026-07-16T15:47:00,CU-1033,card,S,mobile_plan,true,45000,user1033@example.com
2026-07-16T18:48:00,CU-1031,bank,S,mobile_plan,true,45000,user1031@example.com
2026-07-16T18:49:00,CU-1039,card,S,internet,true,38000,user1039@example.com
2026-07-16T19:06:00,CU-1059,bank,F,iptv,false,22000,user1059@example.com
2026-07-16T19:16:00,CU-1021,card,S,internet,true,38000,user1021@example.com
2026-07-16T19:30:00,CU-1051,card,S,internet,true,38000,user1051@example.com
2026-07-16T19:46:00,CU-1036,mobile,S,internet,true,38000,user1036@example.com
2026-07-16T20:58:00,CU-1060,card,S,iptv,true,22000,user1060@example.com
2026-07-17T13:02:00,CU-1035,bank,S,internet,true,38000,user1035@example.com
2026-07-18T09:00:00,CU-1043,mobile,S,iptv,false,22000,user1043@example.com
2026-07-18T10:39:00,CU-1019,mobile,S,internet,true,38000,user1019@example.com
2026-07-18T14:44:00,CU-1028,card,S,iptv,true,22000,user1028@example.com
2026-07-18T17:31:00,CU-1048,card,S,iptv,true,22000,user1048@example.com
2026-07-19T12:30:00,CU-1047,card,S,internet,true,38000,user1047@example.com
2026-07-19T14:07:00,CU-1030,card,S,mobile_plan,false,45000,user1030@example.com
2026-07-19T15:42:00,CU-1036,bank,S,iptv,true,22000,user1036@example.com
2026-07-20T09:47:00,CU-1001,mobile,F,iptv,false,22000,user1001@example.com
2026-07-20T10:02:00,CU-1051,card,S,mobile_plan,false,45000,user1051@example.com
2026-07-20T11:07:00,CU-1013,bank,F,iptv,false,22000,user1013@example.com
2026-07-20T15:43:00,CU-1032,bank,S,iptv,false,22000,user1032@example.com
2026-07-20T19:47:00,CU-1001,card,S,iptv,false,22000,user1001@example.com
2026-07-20T20:34:00,CU-1026,card,F,iptv,false,22000,user1026@example.com
2026-07-21T11:07:00,CU-1013,mobile,F,iptv,false,22000,user1013@example.com
2026-07-21T12:39:00,CU-1041,bank,S,iptv,true,22000,user1041@example.com
2026-07-21T13:07:00,CU-1005,card,F,internet,false,38000,user1005@example.com
2026-07-21T16:28:00,CU-1016,mobile,F,iptv,false,22000,user1016@example.com
2026-07-21T20:49:00,CU-1057,mobile,S,mobile_plan,false,45000,user1057@example.com
2026-07-22T08:07:00,CU-1005,mobile,S,internet,true,38000,user1005@example.com
2026-07-22T10:16:00,CU-1019,mobile,S,internet,true,38000,user1019@example.com
2026-07-22T13:31:00,CU-1041,bank,S,mobile_plan,true,45000,user1041@example.com
2026-07-22T14:58:00,CU-1038,card,S,mobile_plan,false,45000,user1038@example.com
2026-07-22T16:33:00,CU-1053,card,S,iptv,true,22000,user1053@example.com
2026-07-22T18:39:00,CU-1035,card,F,iptv,true,22000,user1035@example.com
2026-07-23T11:02:00,CU-1034,bank,S,internet,false,38000,user1034@example.com
2026-07-24T11:47:00,CU-1041,card,S,iptv,true,22000,user1041@example.com
2026-07-24T16:28:00,CU-1016,mobile,F,iptv,false,22000,user1016@example.com
2026-07-24T16:46:00,CU-1030,card,S,mobile_plan,true,45000,user1030@example.com
2026-07-24T20:38:00,CU-1018,bank,S,internet,true,38000,user1018@example.com
2026-07-25T10:04:00,CU-1042,bank,S,iptv,false,22000,user1042@example.com
2026-07-25T16:49:00,CU-1004,mobile,F,internet,true,38000,user1004@example.com
2026-07-25T18:34:00,CU-1047,card,F,iptv,false,22000,user1047@example.com
2026-07-25T20:49:00,CU-1004,mobile,S,internet,false,38000,user1004@example.com
2026-07-27T09:24:00,CU-1035,bank,F,iptv,true,22000,user1035@example.com
2026-07-27T14:36:00,CU-1055,card,S,mobile_plan,false,45000,user1055@example.com
2026-07-27T16:11:00,CU-1052,mobile,S,mobile_plan,false,45000,user1052@example.com
2026-07-27T17:51:00,CU-1037,mobile,S,mobile_plan,true,45000,user1037@example.com
2026-07-27T18:29:00,CU-1045,mobile,S,iptv,true,22000,user1045@example.com
2026-07-27T18:29:00,CU-1060,bank,S,iptv,true,22000,user1060@example.com
2026-07-27T19:29:00,CU-1044,card,S,internet,true,38000,user1044@example.com
2026-07-28T09:18:00,CU-1022,card,S,mobile_plan,true,45000,user1022@example.com
2026-07-28T11:36:00,CU-1060,card,S,internet,true,38000,user1060@example.com
2026-07-28T18:52:00,CU-1027,bank,F,iptv,true,22000,user1027@example.com
2026-07-29T09:55:00,CU-1026,card,S,iptv,false,22000,user1026@example.com
2026-07-29T10:50:00,CU-1025,bank,S,internet,true,38000,user1025@example.com
2026-07-29T16:25:00,CU-1056,mobile,S,iptv,false,22000,user1056@example.com
2026-07-29T19:35:00,CU-1056,mobile,S,iptv,true,22000,user1056@example.com
2026-07-29T19:43:00,CU-1040,mobile,S,internet,true,38000,user1040@example.com
2026-07-30T19:07:00,CU-1025,card,S,mobile_plan,true,45000,user1025@example.com
